"title_english","genre"
"DARLING in the FRANXX","Action, Sci-Fi, Drama, Mecha"
"The Future Diary: Redial","Action, Psychological, Supernatural, Shounen"
"Twin Star Exorcists","Action, Supernatural, Romance, Fantasy, Shounen"
"Saekano: How to Raise a Boring Girlfriend","Harem, Comedy, Romance, Ecchi, School"
"Yamada-kun and the Seven Witches","Harem, Mystery, Comedy, Supernatural, Romance, School, Shounen"
"Fullmetal Alchemist","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
"Eden of The East","Action, Sci-Fi, Mystery, Comedy, Drama, Romance, Thriller"
"Re:ZERO -Starting Life in Another World-","Psychological, Drama, Thriller, Fantasy"
"Absolute Duo","Action, Harem, Supernatural, Romance, Ecchi, School"
"JoJo&#039;s Bizarre Adventure","Action, Adventure, Supernatural, Vampire, Shounen"
"BTOOOM!","Action, Sci-Fi, Psychological, Seinen"
"Cowboy Bebop: The Movie","Action, Space, Drama, Mystery, Sci-Fi"
"Shuffle!","Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen"
"Gurren Lagann","Action, Adventure, Comedy, Mecha, Sci-Fi"
"Amagi Brilliant Park","Comedy, Magic, Fantasy"
"Arakawa Under the Bridge","Comedy, Romance, Seinen"
"Guilty Crown","Action, Sci-Fi, Super Power, Drama, Romance"
"Tsukigakirei","Romance, School"
"Rosario + Vampire","Harem, Comedy, Romance, Ecchi, Vampire, Fantasy, School, Shounen"
"Aldnoah.Zero","Action, Mecha, Sci-Fi, Space"
"Recovery of an MMO Junkie","Game, Comedy, Romance"
"The Troubled Life of Miss Kotoura","Comedy, Drama, Romance, School"
"Tales of Zestiria the X","Action, Adventure, Magic, Fantasy"
"Rainbow","Drama, Historical, Seinen, Thriller"
"The Garden of Words","Slice of Life, Psychological, Drama, Romance"
"Fate/stay night [Unlimited Blade Works]","Action, Supernatural, Magic, Fantasy"
"Seraph of the End: Vampire Reign","Action, Military, Supernatural, Drama, Vampire, Shounen"
"5 Centimeters Per Second","Drama, Romance, Slice of Life"
"A Certain Scientific Railgun S","Action, Sci-Fi, Super Power"
"My Hero Academia 3","Action, Comedy, School, Shounen, Super Power"
"The Ancient Magus&#039; Bride","Slice of Life, Fantasy, Magic, Shounen"
"Magi: The Labyrinth of Magic","Action, Adventure, Fantasy, Magic, Shounen"
"The World God Only Knows: Goddesses","Harem, Comedy, Supernatural, Romance, Shounen"
"Love Hina","Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life"
"Code:Breaker","Action, Comedy, School, Shounen, Super Power, Supernatural"
"Hanasaku Iroha: Blossoms for Tomorrow","Slice of Life, Comedy, Drama"
"Bakemonogatari","Romance, Supernatural, Mystery, Vampire"
"Bungo Stray Dogs","Action, Mystery, Comedy, Supernatural, Seinen"
"the Garden of sinners Chapter 1: Overlooking View","Action, Mystery, Supernatural, Thriller"
"Your Lie in April","Drama, Music, Romance, School, Shounen"
"GATE","Action, Military, Adventure, Fantasy"
"Himouto! Umaru-chan","Comedy, School, Seinen, Slice of Life"
"","Action, Supernatural, Drama, Magic, Fantasy"
"My Hero Academia","Action, Comedy, School, Shounen, Super Power"
"The Melancholy of Haruhi Suzumiya Season 2","Sci-Fi, Slice of Life, Mystery, Comedy, Parody, Romance, School"
"Grimgar: Ashes and Illusions","Action, Adventure, Drama, Fantasy"
"My Teen Romantic Comedy SNAFU TOO!","Slice of Life, Comedy, Drama, Romance, School"
"Full Metal Panic? Fumoffu","Action, Comedy, School"
"No. 6","Action, Sci-Fi, Mystery, Drama"
"Yosuga no Sora","Drama, Ecchi, Harem, Romance"
"Deadman Wonderland","Action, Sci-Fi, Horror, Shounen"
"Oreimo 2","Slice of Life, Comedy, Romance"
"Claymore","Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen"
"Ben-To","Action, Comedy, Martial Arts"
"Gangsta.","Action, Drama, Seinen"
"Devilman: Crybaby","Action, Horror, Demons, Supernatural"
"Engaged to the Unidentified","Slice of Life, Comedy, Romance, School"
"Ground Control to Psychoelectric Girl","Sci-Fi, Slice of Life, Comedy"
"Sayonara, Zetsubou-Sensei","Comedy, Parody, School"
"ChäoS;HEAd","Harem, Mystery, Psychological, Sci-Fi, Supernatural"
"Love, Chunibyo & Other Delusions!","Slice of Life, Comedy, Drama, Romance, School"
"A Certain Magical Index","Action, Magic, Sci-Fi, Super Power"
"Hunter x Hunter","Action, Adventure, Shounen, Super Power"
"Grave of the Fireflies","Drama, Historical"
"Hyouka","Mystery, School, Slice of Life"
"Monogatari Series: Second Season","Mystery, Comedy, Supernatural, Romance, Vampire"
"Blast of Tempest","Action, Mystery, Psychological, Drama, Magic, Fantasy, Shounen"
"Sword of the Stranger","Action, Adventure, Historical, Samurai"
"Paprika","Sci-Fi, Mystery, Dementia, Horror, Psychological, Thriller, Fantasy"
"Fighting Spirit","Comedy, Sports, Drama, Shounen"
"Shakugan no Shana: Season I","Action, Drama, Fantasy, Romance, School, Supernatural"
"Paranoia Agent","Mystery, Dementia, Police, Psychological, Supernatural, Drama, Thriller"
"","Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"
"Tokyo Ghoul √A","Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen"
"Kokoro Connect","Slice of Life, Comedy, Supernatural, Drama, Romance, School"
"Death Parade","Game, Mystery, Psychological, Drama, Thriller"
"Tsukimonogatari","Mystery, Comedy, Supernatural, Ecchi"
"New Game!","Game, Slice of Life, Comedy"
"PandoraHearts","Adventure, Fantasy, Mystery, Shounen, Supernatural"
"The Asterisk War","Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi, Supernatural"
"Black Lagoon","Action, Seinen"
"Waiting in the Summer","Comedy, Drama, Romance, Sci-Fi, Slice of Life"
"Ponyo","Adventure, Fantasy"
"AKIRA","Action, Military, Sci-Fi, Adventure, Horror, Supernatural"
"Nekomonogatari Black","Comedy, Supernatural, Romance, Ecchi"
"The Familiar of Zero","Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School"
"Steins;Gate: The Movie − Load Region of Déjà Vu","Sci-Fi, Drama"
"Mayo Chiki!","Harem, Comedy, Romance, Ecchi, School"
"","Adventure, Comedy, Fantasy, Magic, School"
"","Comedy, Ecchi, Harem, Romance, School, Seinen"
"Shiki","Mystery, Horror, Supernatural, Thriller, Vampire"
"Clannad","Slice of Life, Comedy, Romance, Supernatural, School, Drama"
"Tokyo Magnitude 8.0","Drama"
"Date A Live II","Comedy, Harem, Mecha, Romance, School, Sci-Fi"
"Lucky☆Star","Slice of Life, Comedy, Parody, School"
"","Drama, Romance, Shoujo, Supernatural"
"Rage of Bahamut: Genesis","Action, Adventure, Demons, Fantasy, Magic, Supernatural"
"My Mental Choices Are Completely Interfering With My School Romantic Comedy","Comedy, Romance, School"
"Beck: Mongolian Chop Squad","Comedy, Drama, Music, Shounen, Slice of Life"
"Overlord","Action, Game, Adventure, Supernatural, Magic, Fantasy"
"Angel Beats!","Action, Comedy, Drama, School, Supernatural"
"Another","Mystery, Horror, Supernatural, Thriller, School"
"Dagashi Kashi","Slice of Life, Comedy, Shounen"
"Lovely Complex","Comedy, Romance, Shoujo"
"","Comedy, Ecchi, Fantasy, Game, Supernatural"
"Black Butler","Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"
"Little Busters!","Slice of Life, Comedy, Supernatural, Drama, School"
"Code Geass: Lelouch of the Rebellion","Action, Military, Sci-Fi, Super Power, Drama, Mecha, School"
"Wagnaria!!","Slice of Life, Comedy, Romance"
"11eyes","Action, Ecchi, Super Power, Supernatural"
"Kuroko&#039;s Basketball 3","Comedy, Sports, School, Shounen"
